Timestamp,Temperature (C),Humidity (%),Pressure (hPa),Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1223.81,18.85,73.93,98.17,0.01,0.02,1.0,0.43,-0.06,0.18,39.0,93.0,-114.0
1224.81,18.84,73.93,98.17,0.01,0.01,1.0,0.31,-0.06,0.06,41.0,96.0,-115.0
1225.81,18.84,73.94,98.17,0.01,0.01,1.0,0.37,-0.12,0.12,40.0,95.0,-111.0
1226.81,18.85,73.94,98.17,0.01,0.01,1.0,0.37,-0.06,0.06,42.0,91.0,-117.0
1227.81,18.85,73.94,98.17,0.01,0.01,1.0,0.31,-0.06,0.06,38.0,94.0,-113.0
1228.81,18.85,73.94,98.17,0.01,0.01,1.0,0.43,-0.12,0.18,41.0,95.0,-112.0
1229.81,18.85,73.94,98.17,0.01,0.01,1.0,0.37,-0.06,0.12,41.0,95.0,-115.0
1230.81,18.84,73.93,98.17,0.01,0.01,1.0,0.43,-0.12,0.12,39.0,95.0,-114.0
1231.81,18.84,73.93,98.17,0.01,0.01,1.0,0.31,-0.12,0.18,40.0,93.0,-115.0
1232.81,18.85,73.91,98.17,0.01,0.01,1.0,0.31,-0.12,0.12,41.0,94.0,-116.0
1234.81,18.84,73.92,98.17,0.01,0.02,1.0,0.31,-0.06,0.12,39.0,95.0,-112.0
1235.81,18.87,73.92,98.17,0.01,0.01,1.0,0.37,-0.06,0.12,41.0,94.0,-112.0
1236.81,18.85,73.91,98.17,0.01,0.01,1.0,0.37,-0.18,0.12,41.0,94.0,-116.0
1237.81,18.85,73.91,98.17,0.01,0.01,1.0,0.31,-0.12,0.18,40.0,94.0,-114.0
1238.81,18.87,73.91,98.17,0.01,0.01,1.0,0.37,-0.06,0.18,39.0,95.0,-119.0
1239.81,18.85,73.9,98.17,0.01,0.01,1.0,0.31,-0.06,0.12,38.0,92.0,-114.0
1240.81,18.85,73.89,98.17,0.01,0.01,1.0,0.31,-0.06,0.12,41.0,93.0,-112.0
1241.81,18.85,73.89,98.18,0.01,0.01,1.0,0.37,-0.06,0.12,41.0,93.0,-115.0
1242.81,18.85,73.88,98.17,0.01,0.01,1.0,0.37,-0.06,0.06,40.0,95.0,-112.0
1244.81,18.87,73.88,98.17,0.01,0.01,1.0,0.31,-0.06,0.06,39.0,95.0,-114.0
1245.81,18.87,73.89,98.17,0.01,0.02,1.0,0.43,-0.12,0.12,40.0,96.0,-114.0
1246.81,18.85,73.89,98.17,0.01,0.01,1.0,0.37,-0.06,0.12,39.0,95.0,-116.0
1247.81,18.87,73.89,98.17,0.01,0.01,1.0,0.37,-0.12,0.18,41.0,95.0,-109.0
1248.81,18.87,73.89,98.17,0.01,0.02,1.0,0.37,-0.12,0.12,41.0,95.0,-113.0
1249.81,18.85,73.88,98.17,0.01,0.01,1.0,0.43,-0.06,0.06,42.0,92.0,-113.0
1250.81,18.87,73.88,98.17,0.01,0.01,1.0,0.37,-0.06,0.06,42.0,92.0,-112.0
1251.81,18.87,73.88,98.17,0.01,0.01,1.0,0.31,-0.12,0.06,39.0,93.0,-113.0
1252.81,18.87,73.88,98.17,0.01,0.01,1.0,0.31,-0.06,0.12,44.0,94.0,-109.0
1254.81,18.87,73.86,98.17,0.01,0.01,1.0,0.37,-0.12,0.06,40.0,91.0,-111.0
1255.81,18.87,73.85,98.17,0.01,0.01,1.0,0.37,-0.12,0.12,40.0,97.0,-119.0
1256.81,18.88,73.83,98.17,0.01,0.01,1.0,0.37,-0.06,0.18,39.0,94.0,-115.0
1257.81,18.88,73.83,98.17,0.01,0.01,1.0,0.31,-0.06,0.12,41.0,95.0,-113.0
1258.81,18.88,73.83,98.17,0.01,0.01,1.0,0.31,-0.06,0.18,41.0,94.0,-117.0
1259.81,18.87,73.82,98.17,0.01,0.01,1.0,0.37,-0.06,0.12,38.0,94.0,-114.0
1260.81,18.88,73.82,98.18,0.01,0.02,1.0,0.31,-0.12,0.12,41.0,94.0,-111.0
1261.81,18.87,73.82,98.17,0.01,0.01,1.0,0.31,-0.12,0.12,40.0,93.0,-119.0
1262.81,18.87,73.82,98.18,0.01,0.01,1.0,0.31,-0.06,0.12,40.0,93.0,-113.0
1264.81,18.88,73.82,98.17,0.01,0.01,1.0,0.37,-0.12,0.12,42.0,96.0,-113.0
1265.81,18.87,73.82,98.17,0.01,0.01,1.0,0.37,-0.12,0.12,42.0,93.0,-119.0
1266.81,18.87,73.82,98.17,0.01,0.01,1.0,0.37,-0.06,0.12,39.0,90.0,-111.0
